username,tweet
viasyafiqa,syukur tidur nyenyak
viasyafiqa,utama
viasyafiqa,waktu hobi tempat karoke seminggu kali kurleb tahun benar tidak ada minggu karoke tidak tahu itu uang dapat darimana saja saudara laki kuliah ngandelin uang jajan doang benar seperti gin cara harfiah
viasyafiqa,dilema tahun an dilema dilema umur hidup iya tuhan ken mensyen tapi tidak polow
viasyafiqa,tidak dilema benar otak mobil encer gercep sekali ingat lagu dilema tidak sudah tidak dilema meh lupa itu lagu
viasyafiqa,dilema itu sial dilema gara kasih sampai aduh sakit sakit enak
viasyafiqa,tidak tidak menangos kalau dengar lagu dulu dulu
viasyafiqa,iya tuhan tunggu pyeha sudah ngantuk
viasyafiqa,ken kiri grup nyampah waktu iru sudah kiri eh dimasukin sibangsad
viasyafiqa,teret teret teret retet tereteretet tereteretetet
viasyafiqa,asli pusing percaya
viasyafiqa,tahu begitu masuk fakultas hukum nagih
viasyafiqa,haduh raja episode keluar
viasyafiqa,kucing
viasyafiqa,keluh hanya sakit maag seblak mie baso aci cemil aneh jalan bodoamat
viasyafiqa,kesal kayak ron itu hermione nang gara habis lihat ron sama lavender cium benarkan jika saya salah
viasyafiqa,dokter dokter saja sudah asli dokter drama korea keren mati
viasyafiqa,panah asmara second pimpin
viasyafiqa,pusing mau mati
viasyafiqa,jalan jari kaki
viasyafiqa,tidak pernah gila tidak pernah bangun pagi pakai kalau warkop tengah malam cemil mie
viasyafiqa,tidak dua
viasyafiqa,ajak balap sama lagi iya tuhan sekali tidak sampai sampai
viasyafiqa,memang ada ada taoi bagus prospek kalau tidak bagus apa sampai musim coba
viasyafiqa,saya musim sudah sih sar syok sampai musim gin
viasyafiqa,kesal sama rw itu muncul tokoh hanya kehadiranya itu gapenting
viasyafiqa,saya temenan milik salah kain garis kenal instagram curhat kesal adalah bayangin goa benci sekali motif bahan model turut saya jelek sekali saya buat itu yang laku
viasyafiqa,makin malas sudah
viasyafiqa,sudah tapi berat gila babawa helm
viasyafiqa,sekarang kalau ojek online harus bawa helm itu bagaimana oke kalau niat naik ojek online bawa rumah kalau darurat cuma naik ojek online tapi gabawa helm bagaimana
viasyafiqa,sudah tidur
viasyafiqa,bodoh iya tuhan
viasyafiqa,orang berat suruh mandi habis luar syukur hobi saya mandi
viasyafiqa,heboh sekali pakai masker engap apa saya dulu memang sudah hobi cuci tangan tidak bisa tangan jorok lengket hina sekali agar tidak kering habis cung pakai handcream
