username,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Label
h3llatrash,1.25,0.0,4.44,6.25,8.0,Openness
azharizkita,3.75,2.22,5.56,5.0,6.0,Openness
jooshpn,1.25,2.22,5.56,0.0,2.0,Conscientiousness
firazulfira,2.5,3.33,5.56,3.75,7.0,Openness
aisyahafr,3.75,4.44,4.44,5.0,5.0,Neuroticism
yaelahir,2.5,2.22,1.11,2.5,2.0,Extraversion
azwardfauzan,2.5,4.44,3.33,3.75,5.0,Openness
itshardys,3.75,3.33,1.11,0.0,3.0,Extraversion
dzakimadhani,3.75,4.44,4.44,2.5,5.0,Openness
shafwan25,5.0,4.44,5.56,2.5,7.0,Openness
raishaaprn,5.0,5.56,2.22,5.0,7.0,Openness
alfrisadivaw,3.75,2.22,0.0,3.75,0.0,Extraversion
nerochaniago,1.25,5.56,4.44,5.0,5.0,Agreeableness
EzPzDudeee,2.5,4.44,1.11,0.0,1.0,Agreeableness
ccarenth,5.0,5.56,5.56,0.0,8.0,Openness
amarasyawalni,3.75,5.56,1.11,5.0,2.0,Agreeableness
idrisg8,3.75,5.56,4.44,6.25,3.0,Neuroticism
arangkecap,6.25,3.33,4.44,2.5,7.0,Openness
shafiramelania,5.0,3.33,5.56,1.25,7.0,Openness
yuuta__96,1.25,3.33,1.11,3.75,4.0,Openness
chandnidevi,3.75,2.22,4.44,5.0,1.0,Neuroticism
adputri_,2.5,3.33,4.44,3.75,4.0,Conscientiousness
amelia_ds,1.25,2.22,3.33,3.75,3.0,Neuroticism
mhswkedokteran ,1.25,4.44,2.22,3.75,1.0,Agreeableness
amalianadiene,6.25,2.22,4.44,5.0,7.0,Openness
msyitams,5.0,5.56,3.33,6.25,6.0,Neuroticism
adorablejuneya,5.0,4.44,4.44,1.25,4.0,Extraversion
pocagurii,5.0,5.56,4.44,5.0,6.0,Openness
susheetrashh,2.5,2.22,1.11,3.75,4.0,Openness
ysyni,3.75,4.44,5.56,2.5,5.0,Conscientiousness
nururufutoria,5.0,5.56,2.22,0.0,8.0,Openness
aisyahnpermata,5.0,5.56,5.56,1.25,6.0,Openness
yudkuswar,2.5,3.33,2.22,2.5,2.0,Agreeableness
joabaldo,6.25,5.56,5.56,0.0,6.0,Extraversion
achielisa,5.0,4.44,5.56,1.25,6.0,Openness
pujaypujilpuu,2.5,3.33,3.33,2.5,2.0,Agreeableness
maulanariandi,5.0,5.56,5.56,2.5,6.0,Openness
bearbrand___,5.0,5.56,4.44,2.5,6.0,Openness
vnyriany,6.25,2.22,4.44,0.0,6.0,Extraversion
alkhawariz_me,1.25,4.44,5.56,5.0,1.0,Conscientiousness
runulhoran,6.25,5.56,3.33,5.0,6.0,Extraversion
classmlild,5.0,4.44,3.33,2.5,6.0,Openness
melanifi796,1.25,4.44,2.22,0.0,0.0,Agreeableness
awwlltl,1.25,2.22,0.0,5.0,2.0,Neuroticism
feonieah,3.75,3.33,4.44,1.25,5.0,Openness
anakyangtangkas,5.0,5.56,4.44,0.0,4.0,Agreeableness
arrrasseo,3.75,5.56,5.56,5.0,7.0,Openness
nisable23,3.75,4.44,4.44,6.25,6.0,Neuroticism
akuuuberuang,3.75,0.0,2.22,2.5,7.0,Openness
eninurainif,2.5,5.56,5.56,6.25,5.0,Neuroticism
kokocrvnch,5.0,4.44,5.56,5.0,8.0,Openness
rio64967228,6.25,4.44,5.56,2.5,7.0,Openness
fia_lutfiazhari,6.25,5.56,5.56,3.75,7.0,Openness
marisahafsyah94,5.0,4.44,5.56,0.0,4.0,Conscientiousness
alifatulauliya,2.5,3.33,3.33,3.75,7.0,Openness
oziechonky,6.25,3.33,5.56,1.25,7.0,Openness
rzqmentari,3.75,5.56,5.56,5.0,6.0,Openness
blqs2324_,3.75,5.56,2.22,6.25,7.0,Openness
estlrsty,2.5,3.33,5.56,2.5,7.0,Openness
cunda,2.5,4.44,3.33,5.0,5.0,Neuroticism
copcopiaa,5.0,4.44,3.33,2.5,3.0,Extraversion
introperti,1.25,2.22,4.44,3.75,2.0,Conscientiousness
bodoamatbrou,5.0,3.33,3.33,3.75,5.0,Extraversion
alisakintan28,1.25,4.44,2.22,3.75,2.0,Agreeableness
auliapramudya_,5.0,5.56,5.56,5.0,5.0,Agreeableness
lerinarin,0.0,3.33,1.11,2.5,3.0,Agreeableness
rierabcd,1.25,2.22,1.11,6.25,4.0,Neuroticism
andrisuartikaa,6.25,3.33,4.44,2.5,3.0,Extraversion
mininoenk,5.0,4.44,1.11,5.0,5.0,Extraversion
imadamii,2.5,4.44,2.22,1.25,6.0,Openness
keiziasyf,5.0,1.11,2.22,6.25,6.0,Neuroticism
emghibli,1.25,3.33,4.44,6.25,4.0,Neuroticism
hildaarfian,5.0,4.44,2.22,5.0,3.0,Extraversion
auliaerical1,1.25,3.33,4.44,6.25,7.0,Openness
g1tsy,2.5,3.33,2.22,6.25,4.0,Neuroticism
kerakteloorr,6.25,3.33,5.56,6.25,8.0,Openness
dellapj_,5.0,3.33,5.56,5.0,7.0,Openness
novia_pqr,5.0,4.44,5.56,2.5,5.0,Conscientiousness
adlfynf,1.25,2.22,4.44,5.0,2.0,Neuroticism
erisyaeris,5.0,1.11,4.44,2.5,4.0,Extraversion
viasyafiqa,1.25,1.11,5.56,0.0,3.0,Conscientiousness
chtime__,2.5,1.11,3.33,0.0,2.0,Conscientiousness
miftahulilma10,2.5,3.33,2.22,5.0,4.0,Neuroticism
lutfinurrha,0.0,0.0,0.0,0.0,0.0,Extraversion
cmaudee,1.25,5.56,2.22,5.0,1.0,Agreeableness
syifa_syifo,6.25,3.33,4.44,1.25,3.0,Extraversion
egalady,1.25,4.44,4.44,6.25,6.0,Neuroticism
ivyeol,0.0,5.56,2.22,6.25,2.0,Neuroticism
alaaini1,5.0,4.44,3.33,3.75,5.0,Extraversion
tehyeuyeu,2.5,3.33,4.44,2.5,6.0,Openness
redhotobing,0.0,0.0,0.0,1.25,1.0,Neuroticism
ociirosiana,5.0,4.44,5.56,0.0,4.0,Conscientiousness
jollajoly,2.5,5.56,3.33,6.25,4.0,Neuroticism
vnessapatricia,5.0,5.56,5.56,6.25,8.0,Openness
novitnurul,2.5,3.33,2.22,2.5,3.0,Agreeableness
elzr13,5.0,3.33,3.33,1.25,6.0,Openness
adindahapsa,5.0,5.56,5.56,6.25,8.0,Openness
rarraayu,1.25,4.44,4.44,0.0,4.0,Agreeableness
ana_ot,5.0,4.44,2.22,1.25,5.0,Extraversion
deliahndt,1.25,0.0,4.44,6.25,3.0,Neuroticism
bananamilxxx,2.5,1.11,2.22,5.0,3.0,Neuroticism
owkowkok,0.0,3.33,0.0,6.25,4.0,Neuroticism
anneestah,5.0,4.44,4.44,0.0,4.0,Extraversion
hazizaanifa,5.0,5.56,5.56,2.5,7.0,Openness
natnasarak,1.25,3.33,3.33,3.75,8.0,Openness
bukanrohalia,3.75,2.22,2.22,1.25,7.0,Openness
upikmera,5.0,4.44,4.44,2.5,5.0,Extraversion
ismi_sh,2.5,4.44,4.44,5.0,6.0,Openness
berlianaefbryn,5.0,4.44,5.56,1.25,5.0,Conscientiousness
apriliarathia,3.75,0.0,5.56,1.25,2.0,Conscientiousness
littaks,3.75,5.56,4.44,2.5,3.0,Agreeableness
ardianitaap,6.25,3.33,2.22,3.75,5.0,Extraversion
cipipiw,2.5,5.56,5.56,3.75,3.0,Agreeableness
megapsmr,3.75,5.56,5.56,0.0,3.0,Agreeableness
anggycaa,2.5,3.33,4.44,3.75,5.0,Openness
rissaafh,0.0,2.22,4.44,6.25,5.0,Neuroticism
imaashoima,2.5,3.33,2.22,5.0,4.0,Neuroticism
nadihng,3.75,1.11,1.11,1.25,2.0,Extraversion
I'm bond,1.25,2.22,2.22,0.0,5.0,Openness
_marfami,2.5,0.0,2.22,6.25,7.0,Openness
punyauname,1.25,4.44,1.11,5.0,3.0,Neuroticism
neftari_tasya,3.75,5.56,4.44,5.0,2.0,Agreeableness
tnurjanah_,5.0,5.56,4.44,6.25,7.0,Openness
nggitw,1.25,2.22,1.11,2.5,4.0,Openness
destandriyani,2.5,5.56,3.33,2.5,4.0,Agreeableness
bibblegumm_,3.75,5.56,0.0,0.0,4.0,Agreeableness
saccharinande,3.75,4.44,2.22,1.25,3.0,Agreeableness
fierly_fy,2.5,4.44,3.33,5.0,7.0,Openness
sora_alxean,2.5,3.33,3.33,1.25,8.0,Openness
dwraoktavia,2.5,2.22,1.11,3.75,5.0,Openness
puteriakira14@gmail.com,3.75,4.44,4.44,0.0,2.0,Agreeableness
imapasha,5.0,3.33,3.33,1.25,6.0,Openness
agustinaanitan,0.0,3.33,3.33,5.0,2.0,Neuroticism
liestianoviani,5.0,4.44,0.0,5.0,4.0,Extraversion
anadisana,1.25,3.33,1.11,2.5,2.0,Agreeableness
kepikbesar,2.5,2.22,5.56,2.5,7.0,Openness
almasyumnaa,1.25,2.22,0.0,6.25,5.0,Neuroticism
rafitaasr,5.0,3.33,5.56,2.5,5.0,Conscientiousness
_deeeya,3.75,5.56,5.56,5.0,4.0,Agreeableness
i_frankenstein,5.0,5.56,5.56,1.25,8.0,Openness
alaniafitri,2.5,5.56,5.56,1.25,6.0,Openness
crysandh,3.75,5.56,4.44,3.75,4.0,Agreeableness
febrianirevita,1.25,0.0,4.44,5.0,6.0,Openness
liputarinns,2.5,2.22,4.44,5.0,3.0,Neuroticism
sundalaif,3.75,1.11,0.0,0.0,2.0,Extraversion
yokozka,3.75,5.56,3.33,3.75,7.0,Openness
rdtlfiqryaj,1.25,4.44,2.22,5.0,4.0,Neuroticism
erikafebiona,3.75,2.22,5.56,6.25,8.0,Openness
ajengptrna,6.25,2.22,4.44,2.5,7.0,Openness
sefticare,1.25,4.44,3.33,1.25,4.0,Agreeableness
bukandove,5.0,3.33,2.22,2.5,2.0,Extraversion
silmiotmiot,3.75,2.22,1.11,6.25,4.0,Neuroticism
metinaayu_,5.0,4.44,3.33,1.25,7.0,Openness
asschaz,3.75,4.44,4.44,1.25,5.0,Openness
elidoff,2.5,1.11,3.33,5.0,8.0,Openness
borahyungg,6.25,2.22,3.33,5.0,7.0,Openness
denokdhena,2.5,3.33,3.33,0.0,1.0,Agreeableness
lalenamanoban,1.25,5.56,4.44,5.0,7.0,Openness
temensopo,3.75,4.44,2.22,6.25,6.0,Neuroticism
griffitpypiet,3.75,2.22,5.56,2.5,6.0,Openness
dheaniranabila,1.25,5.56,5.56,6.25,6.0,Neuroticism
ki_cuu,2.5,3.33,2.22,1.25,3.0,Agreeableness
aleshazha,3.75,3.33,3.33,2.5,2.0,Extraversion
affrizalgani@gmail.com,3.75,4.44,3.33,2.5,7.0,Openness
indrayyyy_,6.25,5.56,3.33,5.0,7.0,Openness
lindanrhd,5.0,2.22,1.11,3.75,6.0,Openness
ucciiill,1.25,2.22,2.22,2.5,1.0,Neuroticism
hermajestyrania,1.25,1.11,5.56,3.75,5.0,Conscientiousness
dennisransun,6.25,3.33,4.44,3.75,6.0,Extraversion
v3isvthree,2.5,2.22,1.11,5.0,3.0,Neuroticism
yunitaaulia_,3.75,3.33,4.44,2.5,6.0,Openness
heyhestyy,5.0,5.56,4.44,3.75,8.0,Openness
timutiimuti,3.75,5.56,5.56,1.25,7.0,Openness
rvghalif,2.5,3.33,5.56,2.5,5.0,Conscientiousness
trisawardanis,3.75,5.56,5.56,5.0,7.0,Openness
tnrx_,3.75,3.33,5.56,2.5,6.0,Openness
naysaada,2.5,3.33,0.0,1.25,4.0,Openness
sobatqasurr,1.25,5.56,4.44,6.25,5.0,Neuroticism
jiiojii,5.0,3.33,4.44,2.5,4.0,Extraversion
1ladyrose,5.0,4.44,4.44,3.75,5.0,Extraversion
zyoslin,3.75,5.56,2.22,6.25,5.0,Neuroticism
asilahanikas,0.0,1.11,2.22,6.25,2.0,Neuroticism
z_bethmalau,2.5,3.33,5.56,5.0,0.0,Conscientiousness
ayrachma,6.25,4.44,4.44,0.0,4.0,Extraversion
munawaroh_mona,2.5,2.22,1.11,0.0,0.0,Extraversion
utho_,3.75,3.33,2.22,2.5,5.0,Openness
dhiyakamila,3.75,5.56,5.56,6.25,6.0,Neuroticism
punyasaya,3.75,4.44,4.44,1.25,7.0,Openness
jusrambai,6.25,3.33,5.56,6.25,8.0,Openness
jengnissa_,5.0,3.33,3.33,3.75,6.0,Openness
nnurma,5.0,3.33,4.44,2.5,2.0,Extraversion
dalgonasachet,2.5,3.33,2.22,2.5,3.0,Agreeableness
febbyjulietta,2.5,4.44,4.44,6.25,5.0,Neuroticism
shobronabadan,1.25,2.22,1.11,3.75,5.0,Openness
koeshandiny,5.0,0.0,2.22,1.25,2.0,Extraversion
maharaniasl_,5.0,5.56,4.44,2.5,4.0,Agreeableness
dartina_,5.0,3.33,5.56,5.0,5.0,Conscientiousness
hkawilarangg,6.25,2.22,4.44,0.0,2.0,Extraversion
gatauuyaaaa,5.0,4.44,4.44,3.75,2.0,Extraversion
mellahae,5.0,4.44,5.56,1.25,8.0,Openness
ptorianns,3.75,5.56,3.33,3.75,4.0,Agreeableness
a2lir,6.25,4.44,3.33,1.25,6.0,Extraversion
diahutami__,0.0,1.11,3.33,6.25,4.0,Neuroticism
biyaanhaz,5.0,3.33,5.56,3.75,8.0,Openness
afhklbc,2.5,4.44,4.44,3.75,6.0,Openness
lilstep95,3.75,2.22,4.44,5.0,4.0,Neuroticism
felesiart,6.25,3.33,5.56,5.0,4.0,Extraversion
oneperson01_,2.5,4.44,2.22,1.25,2.0,Agreeableness
salmagustiara11,2.5,4.44,3.33,2.5,1.0,Agreeableness
isnainirahayu29,1.25,4.44,2.22,3.75,0.0,Agreeableness
Tria,2.5,4.44,2.22,2.5,3.0,Agreeableness
hypertenshit,1.25,3.33,2.22,5.0,5.0,Neuroticism
firda0305,0.0,4.44,3.33,3.75,6.0,Openness
llakhr,0.0,1.11,3.33,5.0,5.0,Neuroticism
sherinasharone6,2.5,5.56,3.33,3.75,7.0,Openness
normalvira,1.25,4.44,5.56,0.0,2.0,Conscientiousness
ernaindahc,6.25,5.56,5.56,3.75,6.0,Extraversion
muthiaf10,3.75,4.44,5.56,1.25,5.0,Conscientiousness
scharrii,6.25,3.33,4.44,1.25,6.0,Extraversion
prastikavivi,5.0,4.44,5.56,3.75,6.0,Openness
mokohh,6.25,3.33,5.56,1.25,2.0,Extraversion
nurulainiii,0.0,2.22,4.44,5.0,3.0,Neuroticism
fitriae,1.25,3.33,4.44,6.25,3.0,Neuroticism
silvihoroni,2.5,3.33,5.56,2.5,3.0,Conscientiousness
diniheryani,3.75,4.44,5.56,2.5,3.0,Conscientiousness
ditdandep,2.5,4.44,3.33,3.75,4.0,Agreeableness
fadfadholic,5.0,3.33,1.11,1.25,5.0,Extraversion
aini_listia,0.0,2.22,1.11,3.75,4.0,Openness
itayimalsi,1.25,1.11,1.11,1.25,5.0,Openness
nanuazz,5.0,3.33,4.44,3.75,6.0,Openness
kasurlante,2.5,3.33,4.44,5.0,4.0,Neuroticism
haslind212,1.25,2.22,3.33,5.0,4.0,Neuroticism
apdesti_,6.25,3.33,5.56,3.75,4.0,Extraversion
dinii731,6.25,4.44,5.56,6.25,7.0,Openness
hapiyenanad,6.25,3.33,5.56,2.5,7.0,Openness
rosaagstn,2.5,2.22,4.44,6.25,8.0,Openness
puputfeb1,1.25,4.44,3.33,3.75,4.0,Agreeableness
ladafiq,1.25,4.44,3.33,5.0,6.0,Openness
dewiyulianafs,0.0,4.44,3.33,5.0,1.0,Neuroticism
maulinnnauna,3.75,3.33,1.11,6.25,3.0,Neuroticism
aldimaulana48,1.25,3.33,5.56,3.75,1.0,Conscientiousness
indrimisda,6.25,4.44,5.56,0.0,8.0,Openness
rahmatfathoni,1.25,4.44,2.22,5.0,4.0,Neuroticism
yeremiawids,5.0,2.22,2.22,3.75,6.0,Openness
nadiadjibran,0.0,2.22,0.0,6.25,2.0,Neuroticism
nirma patiung,2.5,3.33,5.56,5.0,8.0,Openness
tiaraindhprmt,1.25,1.11,2.22,2.5,4.0,Openness
akhsaraa,3.75,4.44,5.56,5.0,7.0,Openness
jimboooyaaa,5.0,5.56,4.44,1.25,8.0,Openness
enarawk,2.5,1.11,2.22,5.0,6.0,Openness
inkafbrn,6.25,3.33,5.56,1.25,7.0,Openness
lebleuestwendy,0.0,1.11,3.33,5.0,6.0,Openness
ervhans,3.75,3.33,2.22,1.25,3.0,Extraversion
nailazulfanz,5.0,5.56,4.44,1.25,8.0,Openness
ratnanoviantis,1.25,4.44,5.56,2.5,6.0,Openness
andiniayu,3.75,4.44,4.44,1.25,8.0,Openness
dhika_fadhillah,2.5,4.44,2.22,5.0,1.0,Neuroticism
donblagu_,1.25,4.44,4.44,1.25,7.0,Openness
citra_nch,0.0,4.44,2.22,6.25,4.0,Neuroticism
kirannaurora,3.75,5.56,5.56,5.0,4.0,Agreeableness
emanggemeshin,5.0,5.56,5.56,2.5,8.0,Openness
sulisprstya,3.75,5.56,3.33,1.25,1.0,Agreeableness
eggyfauzie,6.25,5.56,5.56,2.5,7.0,Openness
k_nimahism,1.25,5.56,1.11,6.25,1.0,Neuroticism
seacrabble,6.25,5.56,4.44,2.5,6.0,Extraversion
ilma678,2.5,2.22,4.44,3.75,3.0,Conscientiousness
_alphatauri,3.75,4.44,4.44,1.25,7.0,Openness
ejakulasi_,2.5,3.33,3.33,2.5,5.0,Openness
ariefpopoh,3.75,2.22,5.56,0.0,6.0,Openness
raysaamelia23,6.25,4.44,4.44,5.0,5.0,Extraversion
jenniferhermawan,1.25,4.44,5.56,1.25,4.0,Conscientiousness
yukyookyak,1.25,2.22,2.22,3.75,2.0,Neuroticism
khalishahdwi,1.25,5.56,4.44,5.0,3.0,Agreeableness
sarmelss,3.75,2.22,5.56,1.25,7.0,Openness
gramelt,1.25,4.44,3.33,1.25,4.0,Agreeableness
isthatuuu_,6.25,4.44,3.33,3.75,5.0,Extraversion
gebiyaeputri,5.0,3.33,1.11,2.5,2.0,Extraversion
tewiiikkk,3.75,3.33,3.33,1.25,5.0,Openness
ugitugitmiskoi,2.5,5.56,3.33,3.75,2.0,Agreeableness
astrifaj,5.0,4.44,3.33,2.5,2.0,Extraversion
rin_natalia,3.75,3.33,5.56,1.25,6.0,Openness
readytomingie,3.75,3.33,4.44,2.5,8.0,Openness
deviariyani_,1.25,4.44,5.56,1.25,3.0,Conscientiousness
nwindaputri,3.75,5.56,5.56,3.75,7.0,Openness
nisaanisar,1.25,2.22,4.44,6.25,6.0,Neuroticism
tramadanur,3.75,1.11,0.0,6.25,4.0,Neuroticism
anjarilarasati,3.75,4.44,5.56,5.0,7.0,Openness
_evilioni,6.25,5.56,5.56,3.75,7.0,Openness
dioaprimaisya,0.0,1.11,0.0,5.0,4.0,Neuroticism
elviradc1,5.0,3.33,5.56,0.0,3.0,Conscientiousness
duwaaaay,0.0,0.0,0.0,6.25,1.0,Neuroticism
lilamarsaaa,0.0,2.22,1.11,1.25,2.0,Agreeableness
anzjani,3.75,2.22,5.56,0.0,2.0,Conscientiousness
king fatih,3.75,3.33,3.33,5.0,8.0,Openness
niningoktfn,5.0,4.44,3.33,1.25,6.0,Openness
alitapuspa_,3.75,1.11,3.33,3.75,5.0,Openness
rkhusfa,3.75,3.33,4.44,5.0,1.0,Neuroticism
fitrisip,2.5,4.44,5.56,2.5,4.0,Conscientiousness
yusrinasmarani,5.0,5.56,4.44,3.75,4.0,Agreeableness
fridamayanti,3.75,3.33,3.33,6.25,4.0,Neuroticism
abdee,6.25,5.56,4.44,1.25,4.0,Extraversion
almostbeyours,3.75,5.56,4.44,6.25,2.0,Neuroticism
ursnflwr_,2.5,3.33,5.56,5.0,8.0,Openness
soubyai,6.25,1.11,2.22,6.25,6.0,Extraversion
novitakurniap,3.75,3.33,3.33,1.25,4.0,Openness
alicia_tanu,6.25,1.11,4.44,0.0,3.0,Extraversion
t_hndr,2.5,5.56,2.22,6.25,2.0,Neuroticism
zzhnurul,1.25,3.33,5.56,3.75,7.0,Openness
_diniap,3.75,4.44,5.56,3.75,3.0,Conscientiousness
alfinalfinn,6.25,3.33,5.56,3.75,6.0,Extraversion
nadilashafiray,2.5,4.44,5.56,5.0,5.0,Conscientiousness
dhityaovim,1.25,4.44,5.56,2.5,2.0,Conscientiousness
mayang9960,1.25,0.0,3.33,6.25,7.0,Openness
januarrmdhn,6.25,4.44,3.33,2.5,4.0,Extraversion
helmmerah,6.25,5.56,5.56,5.0,8.0,Openness
dwidys_,1.25,1.11,3.33,1.25,4.0,Openness
anandway,1.25,1.11,5.56,5.0,5.0,Conscientiousness
liayurh_,2.5,4.44,5.56,3.75,4.0,Conscientiousness
isnakhairi,2.5,3.33,4.44,1.25,6.0,Openness
nurmasusanti,6.25,3.33,1.11,5.0,2.0,Extraversion
kasurjalan,1.25,2.22,3.33,2.5,7.0,Openness
agus_trianto,2.5,1.11,0.0,5.0,6.0,Openness
kharismagpri,0.0,4.44,2.22,5.0,7.0,Openness
syhrnsyhrnn,0.0,4.44,1.11,5.0,3.0,Neuroticism
trianeee_,2.5,3.33,3.33,1.25,6.0,Openness
Nabila zathira,1.25,3.33,4.44,3.75,1.0,Conscientiousness
iyaininajau,1.25,4.44,1.11,6.25,6.0,Neuroticism
rotiisicoklat,1.25,4.44,4.44,5.0,4.0,Neuroticism
ovilsp,1.25,4.44,2.22,6.25,6.0,Neuroticism
bestchrysalis,6.25,5.56,5.56,1.25,5.0,Extraversion
virraaa_,1.25,2.22,4.44,2.5,6.0,Openness
