username,created_at,text,retweet,favorite
benrskbyg,2020-07-05 01:02:38,"@agung_eRBe Butuh dong, tapi dengan kompres akan jauh lebih menghemat waktu ketimbang langsung copy ya kak 😊 - Ben",0,0
benrskbyg,2020-07-04 13:43:29,"#tipsben ora lemot kalau copy/cut file. Copy 1 file ukuran 5GB lebih cepat daripada 50000 file masing masing ukuran 100KB. Jadi kalau filenya banyak, dicompress dulu aja jadikan .zip atau .rar",0,0
benrskbyg,2020-07-03 15:43:32,Wadidaw https://t.co/kR6hgAhCSq,0,0
benrskbyg,2020-07-02 03:24:41,2 Juli 2020 https://t.co/InYJ0QuMzK,0,0
benrskbyg,2020-06-28 17:17:01,"@bayuprasetyoo @ridwanhr Bukannya tergantung DKM ya mas? Pernah denger pertanyaan serupa, terus ada ustadz jawab begitu. Kalau halaman masjid tidak termasuk 'masjid' yang dimaksudkan haram dalam hadits berarti gak haram.",0,0
benrskbyg,2020-06-28 10:25:45,Anjing 😂 https://t.co/4hEBTOXoTp,0,0
benrskbyg,2020-06-26 08:47:10,Dimana dan kapan tidak ditulis? https://t.co/d8WgFBH5GI,0,0
benrskbyg,2020-06-25 13:20:47,"Barusan pulang dari jakal lewat malioboro, sengaja. Emang kalau balik ke kos jalan yang deket ya lewat situ. Udah banyak banget orang mulai dari tugu, sepedaan. Tiap keluar malem kayaknya emang rame terus sekarang. Dan tadi toko² di malioboro jg udah pada buka. Semoga aman. 🤲",0,0
benrskbyg,2020-06-25 12:46:43,25 Juni 2020 https://t.co/Pg10sNkglj,0,0
benrskbyg,2020-06-25 08:25:14,@gaf4rb Semangat ba..,0,0
benrskbyg,2020-06-24 01:00:32,Be like @fadlizon 👍 https://t.co/cfQF3IiZGt,0,0
benrskbyg,2020-06-21 09:09:34,@BBCIndonesia @DownloaderBot,0,0
benrskbyg,2020-06-21 07:12:45,Nice idea 😂😂 https://t.co/5rJFwLXi73,0,1
benrskbyg,2020-06-21 02:14:47,21 Juni 2020 https://t.co/1IbMNYjaK5,0,0
benrskbyg,2020-06-20 01:52:16,@WidasSatyo Waktu ke Jakarta 2012 nonton gak mas? Hehe,0,0
benrskbyg,2020-06-19 01:27:21,"Baterainya tidak ketemu dong, udah bongkar bongkar. Alhamdulillah baterai yang lainnya balik normal lagi 🤲",0,0
benrskbyg,2020-06-19 00:11:21,@mubayyinus Call i jog you,0,0
benrskbyg,2020-06-18 23:17:17,😂 https://t.co/O32d5QJC2y,0,0
benrskbyg,2020-06-18 04:09:04,Ea https://t.co/YrFd790myN,0,0
benrskbyg,2020-06-15 23:36:39,"@BBCIndonesia Hukumannya mungkin lebih baik disiram balik saja, daripada 1 tahun..",0,0
benrskbyg,2020-06-15 19:29:39,Semoga bisa lekas bertemu dengan ibunya.. https://t.co/nzGvbQvSP7,0,2
benrskbyg,2020-06-12 14:28:46,"@h3llatrash @GiaPratamaMD Udah kak, semoga lancar 👍",0,0
benrskbyg,2020-06-12 14:20:18,"@aik_deathripper Biasanya tuh, biasanya lho ya. Itu yang dibelakang cuma ngikut depannya doang, seandainya ada satu orang setelah orang depannya inisiatip lipat sepeda, matiin lampu, turun dari sepeda belakangnya ngikutin. Biasanya sih gitu.",0,0
benrskbyg,2020-06-12 01:32:36,"Jangan malas buka link beritanya yaa, jangan judulnya aja. Ini berita 2017, terlepas dari itu tetap saja ini ironi.. https://t.co/cvJKosY4BE",0,1
benrskbyg,2020-06-10 12:17:57,@mahasiswauenyeh Golongan 6 dan 5 msg² bayar brp?,0,0
benrskbyg,2020-06-10 12:17:15,"@JuribiUlfi @3CareIndonesia Gak bisa bun 🙏 Kuota item gak kepake gegara ada kuota merah. Kemaren langsung beli paket lagi, ternyata malah numpuk dan masa aktifnya sama, kirain otomatis keganti. 😟 https://t.co/NsGptGyVnI",0,0
benrskbyg,2020-06-10 11:05:46,@3CareIndonesia cara berhenti paket unlimited + 10GB gimana ya min?,0,0
