username,created_at,text,retweet,favorite
bvdztkvlr,2020-07-04 14:19:30,@dyastt @eko_kuntadhi Yg salah yg nulis apa yg baca?,0,0
bvdztkvlr,2020-06-17 10:12:35,@akudinal @herrysw Pesan 2 pcs nyampe dlm 3hr,0,0
bvdztkvlr,2020-06-13 18:02:15,"@MorrisKristandy @herrysw Buka app ovo, email hanya konfirmasi saja, di ovo cek notif langsung klik pembayaran",0,0
bvdztkvlr,2020-06-11 07:00:49,"@trebla88 @herrysw @smartfrencare @smartfrenworld Klik byr ovo, masukkan nomor up, terus buka app ovo, buka notif diatas langsung byr",0,0
bvdztkvlr,2020-06-01 03:02:12,"@smartfrencare berhari2 mendung dan hujan, sinyal hanyut kebawa air hujan",0,0
bvdztkvlr,2020-05-16 08:40:54,@Lihalohali @mardiasih Porstex,0,0
bvdztkvlr,2020-05-14 04:42:26,"@_antaresh @na_dirs gimana bisa NETRAL bu, beliau bukan Eno apalagi Bagus. jangan gaduuh lagi bu",0,3
bvdztkvlr,2020-05-13 06:46:41,@armanhermawan3 @savicali Halah pancet ae wong anyaran iki,0,0
bvdztkvlr,2020-04-26 09:41:39,@YukToleran @PSambadha @s_abdurrohim Turu ae mas nang pasar,0,0
bvdztkvlr,2020-04-10 18:25:51,@PSambadha @threadreaderapp unroll please,0,0
bvdztkvlr,2020-04-07 19:53:32,@PSambadha @threadreaderapp unroll please,0,0
bvdztkvlr,2020-04-02 03:32:04,@panjaitanwesle1 Kirim langsung ke alamat nya kan bisa,0,2
bvdztkvlr,2020-04-02 03:29:50,@blegunkz97 @boncusho @ririnsukarno @Elina_Vay Yg sdh keluar tagihannya bukan subsidi,0,0
bvdztkvlr,2020-03-19 11:40:11,@NUgarislucu https://t.co/FwXvWvE23B,0,0
bvdztkvlr,2020-03-16 01:42:30,@kenthirabalabal @Sam_Ardi https://t.co/F6ZExtKuMw,0,1
bvdztkvlr,2020-02-24 14:06:14,@marimascoklatt @stupiditySilent kok ngerti nek mengkeret?,0,0
bvdztkvlr,2020-02-20 11:34:03,"@gojekindonesia DM nya kemana dan dimana ya, nulis disini jawabnya bot, nulis di dm gak ada yg jawab",0,0
bvdztkvlr,2020-02-06 11:59:48,@ryuhasan Bina sakan?,0,0
bvdztkvlr,2020-01-25 14:01:36,@are_goestien @eMbahNyutz Mas @kenthirabalabal sakit apa?,0,0
bvdztkvlr,2020-01-19 06:59:38,"@lentera @abunga0506 @edukotor Kebetulan gaji panwaslu dibayar via Bri, pas mau ngambil uang di kasir yang hanya 700rb an, tiba-tiba didatangi satpam “mau ambil uang ya, maaf uangnya habis kalau mau ambil silahkan ke atm didepan kantor “",1,0
bvdztkvlr,2020-01-09 14:25:25,@are_goestien @anjunyoanjun Lha iki Bakule......,0,2
bvdztkvlr,2020-01-03 06:41:48,@are_goestien @anjunyoanjun &lt;&lt;&lt;pergeseran merk&gt;&gt;.... mas @kenthirabalabal dulu jisamsoe sekarang geser ke Sampoern Ijo Aga....geser lagi ke Jambu Bol...geser lagi ke.....lintingan,1,4
bvdztkvlr,2019-12-15 04:06:29,@kenthirabalabal @are_goestien @CrazyinINA Yo Enak lah..... Cepet sampai,0,0
bvdztkvlr,2019-11-24 15:38:40,mas @kenthirabalabal https://t.co/RvR0zBbqZA,0,1
bvdztkvlr,2019-11-15 13:13:10,@uelfabee2 iki sopooo?,0,0
bvdztkvlr,2019-11-03 04:28:23,@are_goestien @kenthirabalabal @giewahyudi @lentera Hp ne njeblug kakehan notif🤣,0,0
bvdztkvlr,2019-11-03 04:27:41,@tempeultra Iya mbak memang gobblok 🤣,0,0
bvdztkvlr,2019-11-03 03:41:46,@are_goestien @kenthirabalabal @giewahyudi @lentera Kapan2 tak selfi bareng ah,0,0
bvdztkvlr,2019-11-03 03:05:00,@kenthirabalabal @giewahyudi @lentera Gugugu,0,1
bvdztkvlr,2019-11-02 14:40:07,@are_goestien Gara2 helm nya gak ditutup sih,0,0
bvdztkvlr,2019-11-02 12:56:11,"@kenthirabalabal @giewahyudi @lentera Salah sendiri bawa motor, coba pake mobil kan kena rokok........ Kabooooor",0,2
bvdztkvlr,2019-11-02 12:48:45,@kenthirabalabal @giewahyudi @lentera Sudah sudah jangan berteman......,0,0
bvdztkvlr,2019-11-02 03:02:47,@kenthirabalabal @HSoekaboel @are_goestien hoax,0,0
bvdztkvlr,2019-10-31 13:05:23,"@Sandblazt Pilih A, B,, C atau D",0,0
bvdztkvlr,2019-10-25 01:04:25,@are_goestien demikian reportase jalur tol jombang - surabaya pagi ini,0,0
bvdztkvlr,2019-10-23 14:51:41,@senncoin #HariSantriNasional2019,0,1
bvdztkvlr,2019-10-23 08:43:58,@are_goestien Cc mas @kenthirabalabal 😂,0,0
bvdztkvlr,2019-10-21 07:28:11,@Sandblazt glodaaak duaaaarrrrrr,0,0
bvdztkvlr,2019-10-04 03:03:28,@edi_akhiles @gothed @LordRio82 @edoy___ @largurda_ind Mengapa duit? karena duit pemersatu bangsa #JumatMubarakah,0,0
bvdztkvlr,2019-09-26 16:10:58,@Sandblazt dont't rich people difficult,0,0
bvdztkvlr,2019-09-23 14:07:27,@are_goestien @kenthirabalabal #JandaMemanggil,0,0
bvdztkvlr,2019-09-18 13:40:49,@Sandblazt es legen,0,0
bvdztkvlr,2019-09-14 14:58:14,@Sandblazt Okay,0,0
bvdztkvlr,2019-09-14 05:13:13,@Sandblazt TENG TENG TENG!!!,0,0
bvdztkvlr,2019-09-10 11:38:45,@Sandblazt Bungalow,0,0
bvdztkvlr,2019-09-09 07:28:54,"@Sandblazt Bambang,..... gak ada alasan 🤣",0,0
bvdztkvlr,2019-09-08 07:20:13,"@rasndeso @NUgarislucu PB Bir Bintang, biar jadi bintang terus",0,0
bvdztkvlr,2019-09-07 05:08:37,@Sandblazt Manusia Pembeli Akun😀😂,0,0
bvdztkvlr,2019-09-07 02:21:00,@Sandblazt DJ,0,0
bvdztkvlr,2019-09-04 02:56:03,"@Telkomsel jangan menjebak min, pulsaku habis banyak nih",0,0
