username,created_at,text
detiaferlian,2020-06-26 06:12:27,"jum'at barokah, alhamdulillah 😇"
detiaferlian,2020-06-11 16:12:11,mau nasi goreng dpn rs dr suyoto 😔
detiaferlian,2020-06-11 01:49:36,ko pusiiiiiiiiiiiiiing
detiaferlian,2020-06-10 08:15:12,kerjain dlu PR bucket list d simpen dlu 😴
detiaferlian,2020-06-02 05:10:38,@nciimelda yg penting bisa ngtwitt lg ceu 😁
detiaferlian,2020-06-02 04:52:09,"@nciimelda iya ceuu, wellcomeback yaa 😍"
detiaferlian,2020-06-02 04:39:23,hmmm
detiaferlian,2020-05-31 11:27:57,"3.5 thn pacaran ngerasa pnya sifat yg beda banget. udh nikah, eh kok sama eh kok mirip. jodoh itu cerminan mungkin bener yaa 😂"
detiaferlian,2020-05-30 11:53:54,@infosebel sarekeun ah geus teu beres 😂😂😂
detiaferlian,2020-05-30 11:46:24,@infosebel ieu mah olla ramlan dadang 😅
detiaferlian,2020-05-30 08:53:46,@ShopeeID mau B ajaaaaaa #shopeeSabtuSpesial
detiaferlian,2020-05-30 03:08:10,lemes lemes lemes 😩
detiaferlian,2020-03-16 17:18:21,serah luuuuuu
detiaferlian,2019-12-03 23:40:14,"sakit perut, perut sakit 😖"
detiaferlian,2019-09-29 15:01:34,pucing pala ucing
detiaferlian,2019-08-15 17:25:37,counting
detiaferlian,2019-08-15 14:25:43,kadang realistis itu perlu 😊
detiaferlian,2019-08-15 09:56:47,pucing pala ucing
detiaferlian,2019-06-22 15:17:49,tuh kan....
detiaferlian,2019-06-16 22:56:10,Day 1
detiaferlian,2019-06-15 12:47:36,"BB naik sedikit diare, naik sedikit demam ku lelah terus minumin madu penggemuk tp gini2 bae 😖"
detiaferlian,2019-06-05 16:39:44,"kebiasaan d kostan tidur subuh, skr d rumah melek sendirian 😒"
detiaferlian,2019-05-31 16:35:59,@ombul__ hallo kita berjumpa saat ngacapruk d twitter 😂
detiaferlian,2019-04-21 14:06:59,hayoh pakuat2 😣
detiaferlian,2019-01-11 12:28:51,losing something
detiaferlian,2019-01-06 16:37:22,"hari terburuk dari yg paling buruk, dumb af :("
detiaferlian,2018-12-24 12:17:26,tuh kan
detiaferlian,2018-12-13 14:11:37,masa kudu ngulang deui 😫
detiaferlian,2018-12-11 15:29:11,AKU JADI DUTA SHAMPOO LAIN ? HAHAHAHA
detiaferlian,2018-12-01 05:49:56,"giliran bisa plg cepet hujan, gusti gogoda 😩"
detiaferlian,2018-12-01 05:48:26,@AgungPadhika embung atuh gung hayang jd satusatunya dan d utamakan :(
detiaferlian,2018-11-30 17:01:23,@AgungPadhika hayang no wahid :(
detiaferlian,2018-11-30 15:29:34,"kan jam segini mah jagjag, huft"
detiaferlian,2018-11-30 15:27:50,@AgungPadhika ahoooooonnggggg
detiaferlian,2018-11-30 02:51:56,pagi lemes siang lemes sore lemes wktu tidur seger atulah da lain jetleg 😩
detiaferlian,2018-11-29 15:21:08,semoga lelahnya jd lillah 🙏
detiaferlian,2018-11-18 10:44:48,bulak balik dekok marimar lelah ah 😪
detiaferlian,2018-11-11 12:23:23,masih gw liatin.. bntr lg gw geplak palanya 😏
detiaferlian,2018-11-04 16:51:52,jika yg trbaik semoga d segerakan🙏
detiaferlian,2018-04-23 11:40:11,yaalloh nikmat 😰
detiaferlian,2018-04-12 12:58:28,udh yetiii https://t.co/psDCH36YUc
detiaferlian,2018-04-01 13:17:09,semua ada batasnya bukan ?
detiaferlian,2018-02-18 16:05:50,nyerah 🙌
detiaferlian,2018-01-31 07:41:22,😭😭😭
detiaferlian,2018-01-22 02:03:47,serasa d tampar tp nyadarin 😊
detiaferlian,2018-01-21 17:30:22,bismillah step by step tinggalin satu2 🙏
detiaferlian,2017-12-04 16:08:12,sometimes something better comes from bitter things 😊
detiaferlian,2017-09-24 13:35:00,"Lg tdr d tlponin udh bangun malah sibuk maen game, suekk😤"
detiaferlian,2017-09-22 02:49:19,rempong ye mba @Refika1001
detiaferlian,2017-09-21 17:09:09,kuat 🙏
detiaferlian,2017-09-20 01:46:15,@Refika1001 emberan mba 😂
detiaferlian,2017-09-19 23:16:01,@Refika1001 tmpat spam perasaan mba wkwk
detiaferlian,2017-09-13 16:37:43,think twice 🖕🏻🖕🏻🖕🏻
detiaferlian,2017-07-21 15:02:23,hehe
detiaferlian,2017-07-14 22:27:35,thankful every single day 😊
detiaferlian,2017-06-23 15:04:05,more than just a word
