username,created_at,text
pinchipowww,2020-06-17 05:45:56,@lecter_hann @collegemenfess jiakakakakak
pinchipowww,2020-06-17 00:21:18,@subtanyarl caranya adalah melanggar perintah ortu😇
pinchipowww,2020-06-16 23:31:51,lagu dufan terngiang ngiang
pinchipowww,2020-06-16 23:17:02,@subtanyarl staycation sendiriann
pinchipowww,2020-06-16 17:59:24,@hokagege jhahahaha
pinchipowww,2020-06-16 17:53:49,+ positif mental ill https://t.co/CPVcVtlUTs
pinchipowww,2020-06-16 17:52:37,@lebahhitamm ya banyak lah anyink
pinchipowww,2020-06-16 17:51:58,apakaa mungkiin
pinchipowww,2020-06-16 17:33:32,@lecter_hann gue tau lo jomblo
pinchipowww,2020-06-16 17:11:57,@lecter_hann iyy lahh
pinchipowww,2020-06-16 16:15:53,melihat postingan orang dikenal malah membuat insecure
pinchipowww,2020-06-16 16:15:18,@subtanyarl jirr tikus goreng
pinchipowww,2020-06-16 16:13:04,@mbayukkk tar aj kpn kpn
pinchipowww,2020-06-16 16:12:18,knp org bisa pcran sm anak twit
pinchipowww,2020-06-16 12:20:47,@cursedkidd anjritt hahahahah
pinchipowww,2020-06-16 12:18:55,@collegemenfess wkwkwkkw bnr
pinchipowww,2020-06-16 12:14:45,ternyata JNE haters kpop
pinchipowww,2020-06-16 08:26:05,@devsyndrome hnnngg😓
pinchipowww,2020-06-16 08:08:13,@devsyndrome iyy streaming tiktok eheheh
pinchipowww,2020-06-16 07:58:11,kuota cpt amat abisnya
pinchipowww,2020-06-16 02:30:18,@AREAJULID dia ga sebutin identitas costumer ah jd gbs disebut bocorin privasi costumer hnggg
pinchipowww,2020-06-16 01:15:56,@wptlzkvhf luwcu sekolahnya
pinchipowww,2020-06-15 23:09:40,@rlthingy ngapain hrs upload gada yg peduli sm kehidupan w😂
pinchipowww,2020-06-15 14:32:42,@MUSIC_FESS syp pirst lope muuu
pinchipowww,2020-06-15 13:29:17,@ProvehitoAltm @swordfish_8 @kambinggagah @willyframadhan @LismaSujaa @stvrgazrr @dicka_postman @memefess seru bgt karaoke onlen
pinchipowww,2020-06-15 13:16:46,@memefess ketika mimpimu...
pinchipowww,2020-06-15 11:01:23,@egik_mk konten menarik
pinchipowww,2020-06-15 10:59:42,@pondoxcina broken-hearted💔💔💔
pinchipowww,2020-06-15 10:52:04,@Coksara_ @collegemenfess ih demi apasi ada praktikum:((
pinchipowww,2020-06-15 10:48:01,@heyitsfiki kasian bgt tp pgn ketawa😭
pinchipowww,2020-06-15 10:33:02,@Txtdariseragam muntaah
pinchipowww,2020-06-15 10:30:03,ANJJJ FIKRIII!!! DEMI APAAA https://t.co/tONeowUCqn
pinchipowww,2020-06-15 10:26:53,@rlthingy aku pake ini ko ketombean😓
pinchipowww,2020-06-15 10:00:47,reminder https://t.co/T5kddGM3GO
pinchipowww,2020-06-15 07:22:03,@fierrochasee yaampun baru tau namanya beda kalo disana😭😭😭 makasih loh nambah knowledge ehehehe
pinchipowww,2020-06-15 07:18:37,@tubbirfess temen doang ga liat tp kl pacaran liat sih aplg klo mau seriuz
pinchipowww,2020-06-15 07:17:15,@fierrochasee apa bedanya sm martabak?:(
pinchipowww,2020-06-15 06:18:09,@dazzlingfever editnya pake apaa
pinchipowww,2020-06-15 05:22:44,"@munfess 7,5 anjritt"
pinchipowww,2020-06-15 04:16:06,@SiiJagoan mirip lia itzy
pinchipowww,2020-06-15 03:46:44,"@collegemenfess apa susahnya ngesupport sampe dia lulus sih, punya kebanggan sendiri loo ngesupport orang yg lagi jatuh sampe dia bangkit lgi"
pinchipowww,2020-06-15 03:37:47,@mellxxsun met nikah
