username,created_at,text
Lulufrdni,2020-06-11 22:25:01,"Dulu gw kira ibu ga pernah sakit, ngerasain jadi ibu, ternyata jadi ibu ga boleh sakit. Kalo sakit rumah berantakan gaada yg ngurus anak 🤣"
Lulufrdni,2020-06-11 22:21:26,@isambgst Udah gitu gaboleh req ayam nya moapaaa 😭 sediiii akutuuu
Lulufrdni,2020-06-11 17:55:43,Berasa makan minyak ye wkwkwk https://t.co/S3mdPmTVyy
Lulufrdni,2020-06-11 17:52:55,Ehhh wkwkwkwkw
Lulufrdni,2020-06-10 05:20:55,@isambgst 😓
Lulufrdni,2020-06-10 05:06:29,@isambgst Dari kemaren Sam udh kemane2 fikirannnnnyaahhhh😫
Lulufrdni,2020-06-10 04:59:23,Keluaarrr beli makan beli pampersssss beli cemipannn cepuluuh paling🥴 https://t.co/aKPc07T0dS
Lulufrdni,2020-06-10 04:57:09,Panik laaaa. Takut anak2 doangggg knp knp https://t.co/ev8cwjPSH3
Lulufrdni,2020-06-10 04:56:23,Ngeri 😓 https://t.co/JQoqp0hdzM
Lulufrdni,2020-06-10 04:55:10,Semoga bukan apa apa yaaahhhh😭
Lulufrdni,2020-06-10 04:54:36,Gatau sam😫 https://t.co/CZaWXfcqyI
Lulufrdni,2020-06-10 04:53:54,"Abang Tatan demam 36,9😫. Plus ada batuk pilek nya 3hari lalu tbtb muntah. Duuuh fikirankuuuu udh kmn2 aja 😰"
Lulufrdni,2020-06-10 04:52:35,Dada nyesek muluuuu😓
Lulufrdni,2020-06-08 16:44:07,Because of you - Kelly clarkson
Lulufrdni,2020-06-07 21:59:43,Nihhh lagi wkwk https://t.co/beluhxXQoZ
Lulufrdni,2020-06-07 21:37:06,Saking udh bosen nya motidur juga bosen gmn si males meremnya. Aihhh mateee aja u
Lulufrdni,2020-06-05 14:04:03,#FotoProfilBaru https://t.co/IxNaDqgKLS
Lulufrdni,2020-05-31 18:29:18,Nyang benel u https://t.co/8t3KKhwUCp
Lulufrdni,2020-05-31 16:19:33,Masa si https://t.co/mSKqjuRaKk
Lulufrdni,2020-05-31 16:19:08,Hmm baru kali ini kamu ngelike foto aku lg hahhhhaa
Lulufrdni,2020-05-30 19:22:42,Suamikkkk suamikkk 🤣🤭
Lulufrdni,2020-05-26 17:06:30,#FaceApp https://t.co/Tqp8OtvHCj
Lulufrdni,2020-05-21 11:44:20,Gw udh enek bgt
Lulufrdni,2020-05-20 17:27:12,Seneng bgt woi hahaha
Lulufrdni,2020-05-20 17:23:48,🤭
Lulufrdni,2020-05-18 05:08:12,Kaga laaa emg kenapa musti marah 🤣. https://t.co/IBM7DK9zbq
Lulufrdni,2020-05-17 21:56:37,Udh gaada lg deh yg namanya insekyur
Lulufrdni,2020-05-17 21:50:35,"Itumaah kaya ngomong biasa, kalo nanya ada tanda tanya nyaa malihhhh wakaka https://t.co/PaH1vlD5aT"
Lulufrdni,2020-05-17 21:44:01,Mang salah yak? 😴😭 https://t.co/nqcS4seqTA
Lulufrdni,2020-05-17 21:40:52,Udah tjuy https://t.co/8CQyFghJqd
Lulufrdni,2020-05-17 21:31:38,Ada lah conggggg user name nya sama https://t.co/NEPh1bL8w3
Lulufrdni,2020-05-17 21:23:38,Sabar yah Isam wakaka https://t.co/d5g24XAyyh
Lulufrdni,2020-05-17 18:37:07,Soalnyeee dia jg dibully Wakakak nyari temen gak siyyyyyy doi https://t.co/VHGLjDoxZN
Lulufrdni,2020-05-17 06:23:28,Bener ada tambahan 2 episode gak siiiiy??
Lulufrdni,2020-05-17 06:20:36,Jiakkkhhh
Lulufrdni,2020-05-16 19:05:45,Mau nonton the king tapi kurang suka sama pemeran cewek nya. Tp gumuush sm om minho 😍😍😍
Lulufrdni,2020-05-16 18:30:39,Yang udh married pasti feel nya dapet bgt. https://t.co/NeHeIaB36N
Lulufrdni,2020-05-16 17:22:14,"Lakikkk w tau aja klo dy keluar mlm minggu pasti gw ngoceh, eh gw nya yg lupa. Gapapa lah ya demi cuan🤣🤣🤣 https://t.co/MopZbDJppI"
Lulufrdni,2020-05-15 17:56:25,Hiyahhh
Lulufrdni,2020-05-14 22:54:22,Sleepy yawn. Obo dulu biar ga ngantuk ntr mlm nunggu dr ji 🤧🤧
Lulufrdni,2020-05-14 22:53:23,@isambgst Udh main deket sini sm temen sebayanya tp tetep minta nya ke kakek. Gw takut bawa virus ksana hahaha
Lulufrdni,2020-05-14 22:52:02,@bakerboys888 Wakakakak
Lulufrdni,2020-05-14 22:40:50,Beauty vlogger tp gak beauty gmn sik netijen hahaha
Lulufrdni,2020-05-14 22:39:35,"Iyaaaak ke Alfa indo doang kek beli Pampers susu dll 😓. Tp anak gw kan kaga ngikut jd udh bosen bgt kali diaaaa, kalo disuruh tdr siang ngomong, ""ntar malem lagi mamah"" , ""emg kenapa kalo malem?"" Ntar bobo lagi gitu 😓😰 https://t.co/OgyXKF64j4"
Lulufrdni,2020-05-14 22:36:44,"Dan yg aneh nya dia pernah hamil anggur, tp kaya ga sedih. Di kuret malah bahagia. Temen w yg keguguran sedih lohhhhh😒😒"
Lulufrdni,2020-05-14 22:35:33,Maliiiihhh malihhhhhh
Lulufrdni,2020-05-14 22:34:38,Becanda ampe gumoh gw 3bln ga keluar rumah. Wakakakak iyalaaaaaaa pengen semuanya kembali normal tjuy. https://t.co/O8z3s3NBPz
Lulufrdni,2020-05-14 22:22:58,Kasian anak gw udh jenuh bet dirumah. Kalo waktunya disuruh tidur kaya udah bosen gt tidur lg tidur lg. Kmrn minta ke kakek kalo ngga ke tantenya. Wakakak gmn emaknya khaannn. Emg gaada akhlak tu bikin resah ajeeeee 🤯 https://t.co/aWqK2UY4iC
Lulufrdni,2020-05-14 21:40:59,"Bodo amat yah kalo cara ngomongnya dy kaya gt biar eksis tp gw jijik! Org lain pd kesusahan grgr corona, dia sepelein. Kt fallawersss nya gw disuruh nntn full. Idiiiii brp menit aja ga berbobot dy ngomong palagi full. Sakit kali yah"
Lulufrdni,2020-05-14 21:35:50,"Hey, Indira Kalistaaaa kamu tau statement km itu salah ga? Sadar gak? Ibu ibu murka niiiiiiiiiiiii mau sampai kapan diem dirumah mulu karna pihak2 seperti anda lah yg mempersulit :)"
Lulufrdni,2020-05-14 21:34:10,"Ketika gw murka dan ikutan comment, eh bala bala nya ngebela pake account fake https://t.co/85w4cC3N8a"
Lulufrdni,2020-05-14 21:32:05,"Yg ini baru panutan queeeeee, yg ini jgn ditiru yakkkkk https://t.co/tEeCKCJgBa"
Lulufrdni,2020-05-14 20:03:52,"Selebgram tulul inimah, gw ajalaaaah yg jd selebgram wakakakak"
Lulufrdni,2020-05-14 16:11:10,Gak usah shombongggg deh lau kalo blm bs bahagiain org yg lo sayang😴😴😴😴
Lulufrdni,2020-05-14 08:17:24,Emg siapa yg ngelupain anak si 🤣🤣 https://t.co/BSdheHsUPk
Lulufrdni,2020-05-13 14:53:19,"Dr pacaran ga pernah tuu dikasih bunga, pengen yg sweet2 gt. Laki gw ga romantis beeet yak 🤣🤣"
Lulufrdni,2020-05-13 14:48:09,Kekwkww 🤣🤣 https://t.co/NhKAtMujdL
Lulufrdni,2020-05-13 14:37:25,Ih gapapa anjir anak 2 jg mama muda niiii msh ketjeeehh lah yah🤣😥😭 https://t.co/3UZ3gmClp8
Lulufrdni,2020-05-13 14:36:40,Apatuu apatuu😆😆🤣 https://t.co/zXs5GIykVy
Lulufrdni,2020-05-13 13:07:34,Ngeliat pacar orang kenapa uwuu bgt yak hahahaha
Lulufrdni,2020-05-13 12:42:30,Happy birthday hehe telat 😆 https://t.co/kOvlgAw2KM
Lulufrdni,2020-05-11 13:38:54,Sugar Daddy lg hits yah eww
Lulufrdni,2020-05-10 06:19:10,Part termeweeekk donggg😭 https://t.co/yui8cDsVcm
Lulufrdni,2020-05-09 17:16:58,Liat spoiler eps 14 makin gedeeeek ajaaaaa w sm dakyuuung :3 budok SMP mo bunuh diri ya:((
Lulufrdni,2020-05-09 12:55:39,"Ga ngerti lg sm tu gojek, maksudnya apaan gt yak bikin gw nunggu lama. Kenapa ga bawa motor masing2 aja klo mau sekaligus gt ihhhhh"
Lulufrdni,2020-05-09 12:53:14,"Pesen McD di gojek pas jam 6, sekalian nitip Aqua. Pas nyampe hampir jam 7 anjir ternyata digojek itu 2 org gojek nya, naik nmax di depan ada pizza gt 2, ternyata ga dibeliin Aqua nya kesel bgt anjirrrrrrrr"
Lulufrdni,2020-05-09 04:18:00,dr ji kapaaannn ga nyesek nya sih 😫
Lulufrdni,2020-05-08 18:45:50,Zheyankku lg demen pok ame ame😘 https://t.co/ZuMYlSiMLN
Lulufrdni,2020-05-08 18:09:48,Hari gini bm jco ga tu :(
Lulufrdni,2020-05-04 20:50:49,Iyahhhh onti kicikkk 😁 https://t.co/QwEdDpXDo8
Lulufrdni,2020-05-03 15:29:09,Tuuul khaaaan https://t.co/nKY7jQMSzQ
Lulufrdni,2020-05-03 15:28:50,Udah sembuh niyyyy🥰 https://t.co/gVRDiST1vP
Lulufrdni,2020-05-02 13:03:18,Diumur segini keliatan tuh mana yg beneran temen mana yg fake
Lulufrdni,2020-05-02 13:02:27,Download aja telegram terus masuk group nya nnti tinggal play aku aja nonton di telegram td di viu blm ada 😁😂 https://t.co/5UeT6HauIX
Lulufrdni,2020-05-02 08:53:01,Di viu juga udh keluar ko😁 https://t.co/1UE5eeZim9
Lulufrdni,2020-05-02 05:41:32,Telegram 😁 https://t.co/X9XovrTMzU
Lulufrdni,2020-05-01 18:01:43,"Nah itu, td kedokter eh gaada dokter anak nya suruh ke rs. Eh tp papa nya ga berani lg covid😭. Trs telp bidan yg biasa imunisasi katanya klo udh ga panas gaperlu berobat tinggal nunggu bintik2 nya ilang, dikasih nya vitamin beli di apotek☹️ https://t.co/OzfnxlVKUH"
Lulufrdni,2020-05-01 17:58:42,"Terakhir nntn drakor bbf sm romantic princess jaman smp, karna ini rame bgt jd perbincangan jd w nntn deh. Menguras emozi yah🤣🤣🤣 https://t.co/kDDznTYQ6Y"
Lulufrdni,2020-05-01 12:49:49,"Dede demam 4 hari, hari ini keluar bintik-bintik merah. Dalem hati semua ibu ibu pasti knp ga aku aja yg sakit yaallah kasian 😫😞😭"
Lulufrdni,2020-04-30 18:38:32,"Kepingin dimsum bbrp hari lalu, eh td paksu ke alfamidi, pas gw taro2in kekulkas gw liatin satu satu eh ada dimsum freeze wkwkwk seneng bgt gt doang 🥰😬😏"
Lulufrdni,2020-04-27 16:47:53,Akhirnya selesai jg w marathon the world of married. Eh blm seleseee deng masih bersambung🤣🤣
Lulufrdni,2020-04-25 20:05:31,Kayanya seru nonton drakor 🤣
Lulufrdni,2020-04-25 19:28:30,Nonton film Rizky nazar sm Michelle ziu knp baper anet sih akoooo😫😫😫
Lulufrdni,2020-04-25 19:27:35,@chitraasfrita Waaahh temen esempe udh jd budokter aja nihhhhh😬
Lulufrdni,2020-04-25 18:28:56,Wkwkwkwkwk mang enaaa https://t.co/TA9HxOUVdJ
Lulufrdni,2020-04-23 22:41:44,Yaallah puasa pertama ga kebangun sahur😫
Lulufrdni,2020-04-23 14:23:11,Mau diuji kek gmn jg harus sabar yeeeee:'''''D
Lulufrdni,2020-04-23 12:12:51,Kalo kesel sampe keubun-ubun heran
Lulufrdni,2020-04-22 19:09:41,Tiba-tiba kamu dikasih nikmat. Tiba-tiba kamu diuji kesabaran nya
Lulufrdni,2020-04-22 12:09:15,Hadeeeeehh
Lulufrdni,2020-04-22 08:30:18,Iya siikkkk tp pesen nya yg lengkap sm nasi ayam sundae fried fries sm cheese burger 🤣🤣 https://t.co/XiRrnrjnZD
Lulufrdni,2020-04-22 08:21:15,"@isambgst Iye pinteran bgt pengen burger td nyebut, kirain utubbban eh malah buka apl gojek eh pesen nya McD pdhl blm bs baca wkwkw 😓😒😬"
